StrongNumberX1	StrongNumberX2	Distance
G3747	H1634	0.438138138138138
G3747	H6821	0.7936507936507941
G3747	H6108a	0.497863247863248
H6719	H6679	0.772089947089947
H6719	H6718	0.477864370486695
H6719	H3353	0.745688636900543
H6719	G4131	0.802777777777778
H4117	H1886a	0.79033828797637
H4117	A1b	0.806415279240564
H4117	G1377	0.810837073005005
H4117	G3588	0.829725039891386
H4117	H4042	0.827838593930548
H4117	H4119	0.571536796536797
H4117	H8254	0.820614651995314
H4117	H7291	0.817228483446498
H4117	G5099	0.8287037037037041
H988	G691	0.822222222222222
H988	H1820	0.638725490196078
H988	H7918	0.7368300588814
H988	H1826	0.815973596043627
H988	G2869	0.727487922705314
H988	H5627	0.806796223100571
H988	G180	0.636736411736412
H988	H5975	0.794537341412295
H988	H4868	0.822751322751323
H988	H7673	0.679804068750779
H988	G2476	0.8284868917704989
H988	H5239	0.646688034188034
H988	G3973	0.677358184776968
H988	A989	0.531463675213675
H988	H2014	0.752380952380952
H988	H1584	0.803170404922632
H988	H1827	0.808562003298845
H988	G898	0.813131313131313
H988	H7674	0.810745207173779
H988	H8367	0.761199414184489
H988	H2308	0.695455643281091
H988	G1257	0.760679160021265
H475	H3812	0.815637860082305
H475	H499	0.793865740740741
H475	H500	0.770594988519517
H475	H446	0.802985407798816
H475	H448	0.787585282651072
H475	H450	0.761009485094851
H475	H460	0.8139264725980589
H475	G1648	0.807043650793651
H475	H1555	0.821579064094034
H475	G1662	0.8060897435897439
H475	G2241	0.826497057805469
H475	H471	0.786254281738386
H475	H5941	0.801231656184486
H475	H452	0.737657121731532
H475	H474	0.80730556726132
H475	G2484	0.808086708203531
H475	H501	0.806180323707999
H475	G2243	0.788494411571335
H2066	H3075	0.786314363143631
H2066	H2067	0.821913580246914
H2066	H8656a	0.791774891774892
H2066	H8656	0.777289377289377
H2066	H3107	0.71436338473705
H2066	H2071	0.806779661016949
G3118	H2416d	0.8196059431524551
G3118	A2417a	0.387393162393162
G3118	H3808	0.810546235213799
G3118	H7646	0.8241223642596019
G3118	H7872	0.799317738791423
G3118	H2421	0.652724202938206
G3118	G2222	0.787946428571429
G3118	H8373	0.758578431372549
G3118	H2416	0.650191482869397
G3118	G2863	0.795285087719298
G3118	H2968	0.774621212121212
G3118	H753	0.60752827744767
G3118	G3117	0.799074074074074
G3118	G4176	0.80952380952381
G3118	H2416a	0.752403569648883
G3118	H752	0.645337301587302
G3118	H7227	0.801484915257211
G3118	H748	0.590767335031023
G3118	H3117	0.7608176261248309
G3118	H2205	0.769015052096009
G3118	H4390	0.80677782462057
G3118	H8375	0.774621212121212
G3118	G1972	0.826388888888889
G3118	G2244	0.805764143264143
G3949	G2371	0.768081550802139
G3949	G4360	0.658775252525253
G3949	H5782	0.809567884529185
G3949	G23	0.778165584415584
G3949	G3863	0.699645262145262
G3949	G3709	0.72531033260839
G3949	H2195	0.774179409366575
G3949	H5678	0.747047833433245
G3949	G3710	0.411709996352854
G3949	H5201	0.785512965328539
G3949	H2534	0.696739432336325
G3949	H7065	0.797277086799234
G3949	H6225	0.828548403001228
G3949	H3707	0.428753050764897
G3949	G5520	0.524388397550162
G3949	H2534a	0.77773569023569
G3949	G3950	0.588152356902357
G3949	H2734	0.682990649098897
G3949	H2194	0.825329069079069
G3949	H3708	0.694959410221399
G3949	G383	0.814943467505579
G3949	A2528	0.778601014998074
G3949	H4330	0.748650423650424
G3949	H7264	0.825118772183148
G3949	G4292	0.615131188041405
G3949	H2198	0.767885101010101
G3949	H639	0.571865577801884
G3949	H6965	0.819013770254306
G3949	A7265	0.55555001772107
G3949	G2372	0.791883980908212
G3949	G2042	0.5273860499403979
G3949	H5927	0.829352288535384
G3949	H1624	0.789188225795369
G3949	H2740	0.801352304449224
G3949	H8428	0.785033544830456
G3949	H7481a	0.768238009711554
G3949	A1149	0.737689393939394
G3949	G4787	0.802000265816055
G3949	G1892	0.703679653679654
G3949	A7109	0.821254208754209
G3949	H5674a	0.603887085137085
G3949	G3894	0.786796536796537
G3949	H7110	0.6550767913566941
G3949	H750	0.723465150865813
G3949	H2196	0.797967482040063
