chapter_number,placement_before_verse,verse_id,text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_verse,exact_match_to_later_edition
6,4,6:4,The Disbelievers,97,85,"[725.0, 1077.36, 1055.246, 1126.959]","[0.426471, 0.392624, 0.620733, 0.410699]",,False
6,12,6:12,God Alone Worthy of Worship,97,85,"[587.0, 2283.637, 1203.257, 2339.459]","[0.345294, 0.832229, 0.707798, 0.852573]",,False
6,17,6:17,Only God Benefits and Harms,98,86,"[505.0, 780.93, 1114.263, 833.731]","[0.297059, 0.283356, 0.655449, 0.302515]",Only God Controls Happiness,False
6,19,6:19,Quran: The Only Divine Revelation to Muhammad,98,86,"[287.0, 1086.97, 1329.238, 1176.614]","[0.168824, 0.394401, 0.781904, 0.426928]","Quran, the Whole Quran, and Nothing But the Quran",False
6,21,6:21,Hadith and Sunna: Imperceptible Idolatry*,98,86,"[369.0, 1638.535, 1249.239, 1723.482]","[0.217059, 0.594534, 0.734847, 0.625356]",,False
6,33,6:33,Cod's Messengers Persecuted,99,87,"[593.0, 1842.36, 1195.267, 1891.959]","[0.348824, 0.672885, 0.703098, 0.691]",,False
6,38,6:38,Quran: All the Commandments We Need,100,88,"[383.0, 473.807, 1245.261, 559.713]","[0.225294, 0.172985, 0.732506, 0.204349]",Animals and Birds: Submitting Creatures*,False
6,42,6:42,The Standard Method,100,88,"[589.0, 1153.36, 1034.244, 1202.959]","[0.346471, 0.421088, 0.608379, 0.439196]",,False
6,46,6:46,"God Alone Omnipotent, While the Messengers Powerless",101,89,"[311.0, 301.417, 1451.255, 361.483]","[0.182941, 0.109806, 0.853679, 0.131688]",God Alone Worthy of Worship,False
6,52,6:52,First Believers: The Poor and Oppressed,101,89,"[481.0, 1333.637, 1299.252, 1389.459]","[0.282941, 0.485842, 0.764266, 0.506178]",,False
6,68,6:68,Stay Away From the Wicked,102,90,"[523.0, 1863.768, 1112.255, 1918.1]","[0.307647, 0.679216, 0.654267, 0.699016]",Respect for the Word of God,False
6,74,6:74,Abraham Discovers God,103,91,"[649.0, 1368.126, 1155.245, 1419.351]","[0.381765, 0.498588, 0.679556, 0.517256]",Abraham Debates With Idol Worshipers,False
6,92,6:92,True Believers of all Religions Will Accept Quran,104,92,"[359.0, 1895.637, 1329.764, 1951.459]","[0.211176, 0.693357, 0.782214, 0.713774]",,False
6,95,6:95,God Alone Worthy of Worship,105,93,"[640.0, 636.768, 1258.245, 691.1]","[0.376471, 0.232737, 0.740144, 0.252595]",Greatness of God,False
6,108,6:108,Do Not Berate Their Idols,106,94,"[534.0, 571.768, 1060.257, 626.1]","[0.314118, 0.208598, 0.623681, 0.22842]",,False
6,106,6:106,Hadith and Sunna: The Great Test to Distinguish,106,94,"[299.0, 1431.445, 1292.235, 1496.744]","[0.175882, 0.522235, 0.760138, 0.546058]",,False
6,106,6:106,True Muslims From False Muslims,106,94,"[455.0, 1496.36, 1141.249, 1545.959]","[0.267647, 0.545918, 0.671323, 0.564013]",,False
6,118,6:118,Permission From the Creator Before Killing Animals,107,95,"[386.0, 782.93, 1424.263, 835.731]","[0.227059, 0.286159, 0.837802, 0.305457]",,False
6,6,6:6,Scientific Miracle*,108,96,"[621.0, 304.361, 988.256, 353.959]","[0.365294, 0.110959, 0.581327, 0.129041]",,False
6,6,6:6,The Majority of People Heedless,108,96,"[484.0, 965.361, 1130.257, 1014.959]","[0.284706, 0.351936, 0.664857, 0.370018]",,False
6,136,6:136,Ancient Traditions,109,97,"[716.0, 330.93, 1092.255, 383.731]","[0.421176, 0.120513, 0.642503, 0.139742]",Abusing God's Provisions,False
6,138,6:138,Do Not Prohibit Lawful Things,109,97,"[581.0, 1001.126, 1199.251, 1052.351]","[0.341765, 0.364576, 0.705442, 0.38323]",Religious Innovations Condemned,False
6,142,6:142,Follow the Teachings of God Alone,109,97,"[547.0, 1831.768, 1258.243, 1886.1]","[0.321765, 0.667068, 0.740143, 0.686854]",,False
6,145,6:145,Only Four Things Prohibited,110,98,"[520.0, 879.126, 1091.245, 930.351]","[0.305882, 0.320732, 0.641909, 0.33942]",The Only Dietary Prohibitions*,False
