Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:32.823,00:09:39.786,"Then, when something is in there that doesn't make sense to me, or I'm unable to understand at this time, I will accept it.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:40.000,00:09:41.690,I will not argue with God.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:43.034,00:09:46.171,"Say ""oh, okay, my life is recorded from birth to death.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:47.257,00:09:56.185,"Say ""I submitted. I accepted that, even though before I decided to become a Muslim, I didn't, I wouldn't accept it. It would not make sense to me.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:56.805,00:09:59.064,"So, this is what a submitter is. But I still have doubt.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:09:59.374,00:10:04.269,"""My life is recorded from birth to death. Even 1995 is already recorded.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:10:04.941,00:10:09.733,"""Everything that I will do is already recorded on a videotape.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:10:10.353,00:10:11.888,"""So, I still have these doubts.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:10:12.353,00:10:13.681,"Now, how to attain certainty?",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:10:13.681,00:10:15.681,"I want you to look with me, because this is very important.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:10:15.681,00:10:26.884,"Page 177, the last verse in Surah 15, tells us exactly how we reach that certainty, where there is no doubt whatsoever.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:10:27.401,00:10:31.055,"It says, [15:99] Worship your Lord, so that certainty will come to you.",Dr. Khalifa,
